TR01,TR02,TR03,TR04,TR05,TR06,TR07,TR08,TR09,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,TR21,TR22,TR23,TR24,TR25,TR26,TR27,TR28,TR29,TR30
-0.11447566,-0.14000893,-0.16575888,-0.19023721,-0.21169746,-0.22832276,-0.23858038,-0.24146935,-0.23657584,-0.22406398,-0.20470583,-0.17981355,-0.15108664,-0.12042749,-0.08971721,-0.060582187,-0.034253877,-0.011467332,0.007640973,0.023513427,0.036930293,0.048662715,0.05922735,0.068821006,0.0773405,0.08445,0.08974802,0.09292325,0.093780816,0.0923146
-0.059644654,-0.0721011,-0.08362365,-0.093067214,-0.09931013,-0.101514615,-0.09925797,-0.09260623,-0.08212056,-0.06876731,-0.053765383,-0.038360506,-0.023575846,-0.010149292,0.001365596,0.010503163,0.0169118,0.020506343,0.02159212,0.020827014,0.019052744,0.017114265,0.015742132,0.015430805,0.016326701,0.01820838,0.02053199,0.022654252,0.024184344,0.025130723
0.016394077,0.019357003,0.022560203,0.0258472,0.02907002,0.03208355,0.03476639,0.03706556,0.038967956,0.040422965,0.041295994,0.041352488,0.040297702,0.037865397,0.03388641,0.028358255,0.02153214,0.013895465,0.006036068,-0.001483079,-0.008204412,-0.01382069,-0.018171031,-0.021218922,-0.023021135,-0.023677005,-0.023303224,-0.02201823,-0.019921536,-0.01718124
-0.029392254,-0.036600884,-0.043288697,-0.048995942,-0.053250484,-0.05573621,-0.056366745,-0.055240862,-0.05257486,-0.048593428,-0.043476846,-0.0374444,-0.03086206,-0.024225062,-0.018068124,-0.012845312,-0.008761603,-0.00569769,-0.00336831,-0.001469373,0.000335743,0.0023021,0.004478677,0.006818262,0.009232158,0.011603162,0.013877738,0.016013948,0.017924387,0.019505017
-0.008317211,-0.010320647,-0.01265283,-0.015103087,-0.017319985,-0.019008499,-0.020077443,-0.020595474,-0.020650271,-0.020212285,-0.019072184,-0.016996454,-0.014024121,-0.010586951,-0.007301169,-0.004640338,-0.002762639,-0.001521246,-0.000597989,0.000275037,0.001134572,0.001820692,0.002231674,0.002534245,0.003053388,0.003940413,0.005019432,0.005997507,0.006744918,0.007299799
-0.04702658,-0.063371666,-0.07855948,-0.09111683,-0.09998636,-0.10458544,-0.1047355,-0.10059348,-0.09258877,-0.081339106,-0.06755192,-0.05198517,-0.035490703,-0.019056939,-0.00375613,0.0093885,0.019610438,0.02659771,0.030544424,0.03204029,0.03187739,0.03082757,0.029470235,0.028153164,0.026989592,0.025878262,0.024636086,0.023151051,0.021453867,0.019702636
-0.13846345,-0.16980204,-0.20086484,-0.2297924,-0.25468242,-0.2738194,-0.2857465,-0.28920743,-0.28313944,-0.26678446,-0.23987882,-0.20286435,-0.15698263,-0.10411701,-0.046533667,0.013246432,0.072495446,0.12839526,0.17821845,0.21952505,0.2503226,0.2692254,0.27564707,0.26994205,0.25340572,0.22815052,0.19687808,0.16261956,0.12840037,0.09679452
-0.022152422,-0.026878932,-0.032719288,-0.039827384,-0.048120607,-0.05731003,-0.066868536,-0.07596844,-0.08351961,-0.08823996,-0.08876069,-0.08391818,-0.0731011,-0.056371808,-0.034450967,-0.008625865,0.019387495,0.047491167,0.07333433,0.09468606,0.109847814,0.11795021,0.11907594,0.11409072,0.10428738,0.09114345,0.07619268,0.060813144,0.04603585,0.03254873
-0.1611712,-0.19925426,-0.23745772,-0.2731451,-0.3036237,-0.32651022,-0.33999005,-0.34282613,-0.3342758,-0.31414157,-0.28288507,-0.24166362,-0.19225568,-0.1368588,-0.07785899,-0.017678922,0.041272614,0.09660235,0.14608116,0.18791845,0.2208031,0.24375908,0.25620076,0.25815398,0.25037846,0.23432653,0.2119736,0.18562008,0.15770832,0.13052404
-0.16005799,-0.19314544,-0.22574563,-0.25561383,-0.28031585,-0.29780242,-0.30670658,-0.30632994,-0.29644665,-0.27703518,-0.2482386,-0.21062396,-0.16536658,-0.11414455,-0.05893879,-0.001966331,0.05423584,0.10680232,0.15291628,0.19036482,0.21774766,0.2344467,0.24068423,0.23748644,0.22636658,0.2090359,0.18730268,0.16299255,0.13785128,0.11349625
-0.10553229,-0.13739595,-0.16928682,-0.19886921,-0.22395538,-0.24279116,-0.25412127,-0.2570679,-0.2509656,-0.2353493,-0.21011247,-0.17566527,-0.13296539,-0.08343923,-0.028912509,0.028431913,0.08607665,0.14123005,0.19105671,0.23302583,0.26515514,0.28604752,0.29482406,0.29121912,0.27589282,0.25059456,0.21794245,0.18103513,0.14305992,0.106869265
0.12206967,0.14978255,0.17740399,0.20265955,0.22312307,0.2365282,0.24112052,0.23593515,0.2210088,0.19751199,0.16768621,0.13452943,0.10126738,0.07071597,0.044722803,0.023955485,0.008070147,-0.004040773,-0.013985867,-0.023429437,-0.033610925,-0.04506432,-0.057604685,-0.07054776,-0.08300108,-0.09402975,-0.10273701,-0.10836359,-0.1104383,-0.10890742
-0.10539928,-0.12838644,-0.1518343,-0.17442794,-0.19455718,-0.21060544,-0.22114827,-0.22509351,-0.22172682,-0.21062252,-0.1915903,-0.16489857,-0.13153516,-0.09314312,-0.051659115,-0.008954374,0.03333003,0.07367788,0.11055619,0.14251475,0.16834709,0.18713295,0.19832622,0.20184414,0.19805461,0.18773875,0.1720734,0.15252529,0.1307174,0.1082996
-0.1567733,-0.18791902,-0.21837106,-0.24618992,-0.26925063,-0.28559357,-0.29374272,-0.29283306,-0.28257683,-0.26312163,-0.23493259,-0.19887494,-0.1563651,-0.10923007,-0.059392486,-0.008747249,0.040746167,0.08710816,0.12854573,0.16353008,0.19078149,0.20937791,0.21893314,0.21965596,0.21227357,0.19799498,0.17851424,0.1558818,0.13225804,0.10962866
-0.035970822,-0.047478538,-0.059454598,-0.07123703,-0.081872016,-0.09013407,-0.094953656,-0.09579846,-0.092723705,-0.08623953,-0.07709625,-0.06613012,-0.054285184,-0.04256918,-0.031802982,-0.022410484,-0.014398916,-0.007498111,-0.001343719,0.004336059,0.009540509,0.014056593,0.017726963,0.020543702,0.022582714,0.0239866,0.024927542,0.025469884,0.025497945,0.02489934
-0.10539012,-0.14002244,-0.1756394,-0.2097397,-0.23962373,-0.2627205,-0.2768865,-0.28064907,-0.27329555,-0.2548199,-0.22590734,-0.18796565,-0.1430257,-0.09347686,-0.041828457,0.009426133,0.057998434,0.101984896,0.139917,0.17079568,0.19405164,0.20937212,0.21666072,0.2161508,0.20843036,0.19436039,0.17503078,0.15180206,0.12640856,0.10092355
-0.0779767,-0.103338055,-0.12947968,-0.15474497,-0.17722368,-0.19507661,-0.20681922,-0.21136539,-0.20800574,-0.19650096,-0.17717814,-0.15086645,-0.118785724,-0.08246656,-0.043647427,-0.004138366,0.03432332,0.07019501,0.102180555,0.1292193,0.15043269,0.16512708,0.17294638,0.17399326,0.1687883,0.15820941,0.14339572,0.12559721,0.10612682,0.086383365
-0.096336804,-0.13357903,-0.17238298,-0.20995227,-0.24326193,-0.26934502,-0.28564504,-0.2903682,-0.28269055,-0.26281148,-0.23195085,-0.19226483,-0.14664224,-0.098313436,-0.05037299,-0.00544041,0.034576684,0.06864671,0.096507035,0.11829873,0.13429555,0.1448626,0.15044393,0.15144114,0.14817663,0.14102247,0.13048483,0.11721517,0.10211829,0.086416006
-0.03316201,-0.046844523,-0.061045405,-0.07479687,-0.08708285,-0.09684866,-0.103046454,-0.10488225,-0.10208798,-0.09493963,-0.084117696,-0.07060252,-0.055559583,-0.04014047,-0.025321886,-0.011772794,0.000290087,0.011008712,0.02054729,0.028926473,0.036124814,0.04210388,0.046687115,0.049625784,0.050833978,0.050430946,0.04857542,0.04533672,0.040811155,0.03538963
